%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1675854937554836273,0,2.177003157777258,1.3670513777461573,1.116258069239049,1.8093734509055663,1.5884973599363121,2.2435074716158097,1.265348751801612,1.216302081768769
1675854937558629751,0,2.1705494331923725,1.3601958051427037,1.1141323782260744,1.8095745105025423,1.5897640399583102,2.2368980204670286,1.2562404684227435,1.2239762561739107
1675854937563809633,0,2.1780902112404315,1.3399901519197819,1.120975277799902,1.8097733976391555,1.5820718063698365,2.244459015848097,1.2616726511678,1.256747130964866
1675854937569107532,0,2.1809044261271042,1.3402787907893325,1.1200633944260223,1.8136980219747296,1.582473072755874,2.216673599910838,1.2693309739749186,1.2560913196988375
1675854937569358348,0,2.1791730949275436,1.3027946225694618,1.131002803382002,1.8300798264034637,1.5859608122555344,2.196356118589253,1.2787558830351569,1.2384252712261827
1675854937569437742,0,2.207969535999269,1.2999261555028774,1.146361203887809,1.8423586042805111,1.5584324521724577,2.1725936806808215,1.277241281482746,1.2303173468923507
1675854937569487810,0,2.153023754440019,1.3012271443090302,1.1466156991095264,1.830458168977695,1.55832634504799,2.149768981652682,1.2772860361113254,1.2301042578207824
1675854937569533348,0,2.071379406086039,1.2995407458021304,1.134827522475716,1.8261829278164263,1.5583128645415645,2.150959047170905,1.2755421566553526,1.2264278150785444
1675854937569577932,0,2.067606031396014,1.2989153100288418,1.1346932392688602,1.8249931052263728,1.558471369897881,2.149658415962181,1.2801977314426811,1.2432688192706656
1675854937569620847,0,2.0779048263293545,1.3183604118115213,1.1303424361545975,1.8227914728618932,1.558082689074578,2.1456282084770586,1.2831265561182867,1.2752087398158973
1675854937569663286,0,2.120875452595961,1.3284328942625039,1.1220312426167367,1.8242352472340813,1.5655167053323025,2.145770207430643,1.2815314400672708,1.2666822086835285
1675854937569705009,0,2.1128313646833226,1.3322776338296465,1.1251597301844267,1.822205978505036,1.5672157989794724,2.1450162663714085,1.2919534176943572,1.3529207762951174
1675854937569746494,0,2.267204131388712,1.3347851806326743,1.1275170047419876,1.838201193492464,1.5765854017411522,2.1446120212413153,1.2852514936403718,1.3984422117616073
1675854937569788455,0,2.4962617140215304,1.3606242482938153,1.122191327880378,1.8332828487808386,1.5738593205389173,2.1448409450049777,1.2800267900745033,1.4128307754220903
1675854937578588962,0,2.5290653073397986,1.3637900870554363,1.0987896072139158,1.833431779466309,1.5676692595091672,2.1539645605380247,1.2771384730375765,1.376711544877412
1675854937583509683,0,2.5127957094361943,1.3612255694019977,1.0988652927634963,1.8299541965271662,1.5676908935598013,2.158593093733315,1.2767523625831703,1.3681037062695984
1675854937585238218,0,2.486515374300885,1.3500900703184782,1.1013493193304926,1.8215463820097668,1.567725877949281,2.157984656816012,1.2775549975313323,1.3681192415546428
1675854937587338924,0,2.4881797096011344,1.343009455056621,1.1007317857956787,1.8172668238942955,1.5748187377752914,2.1789481319851673,1.2817972796040717,1.36698233940392
1675854937587551593,0,2.4993189461587892,1.3379191466926672,1.100739843109513,1.8222971713580078,1.596083683959547,2.2384738582934567,1.28783352678531,1.369998539327737
1675854937589826107,0,2.5046300410160813,1.349840632542459,1.1002120055903548,1.8239786641723266,1.5935037122034343,2.2586430872312078,1.2828196471702864,1.3700969957202294
1675854937590117931,0,2.502161318207198,1.34872659724342,1.0911795516770189,1.8305388669199505,1.5991106758916624,2.2587929796211546,1.2811876967500726,1.368541232543517
1675854937590824604,0,2.5116185522447343,1.3487738893499868,1.0899388751702164,1.8335896814659174,1.5978614746927986,2.2718189126693895,1.28083582846514,1.3699290621170919
1675854937591609716,0,2.5384152037124044,1.340587838343053,1.0969757839311136,1.8479808033662266,1.6005919256881307,2.2698837931588343,1.276389850853212,1.3695287518480035
1675854937594131231,0,2.5492568146070327,1.3373389127297375,1.0934979202486987,1.8488141021621591,1.5964138875688938,2.298886439765215,1.2772295478964546,1.368603342953969
1675854937594406127,0,2.558242305654169,1.338509001513801,1.104659117686527,1.8476545435547456,1.677185428885128,2.3508048151770478,1.2807049511935857,1.3764932605065008
1675854937594549417,0,2.559861898412268,1.3357861328700975,1.1029294984360596,1.8527724109712904,1.7165834188907234,2.348699854749354,1.281481512616389,1.3968033660935457
1675854937595268726,0,2.557254200276425,1.326285265573194,1.1031371170603328,1.8341562129779465,1.739664229568434,2.3836077661000297,1.2941973928275814,1.3949737492417846
1675854937595988988,0,2.5537560345445276,1.333476663924593,1.1046879778272474,1.8649702628560278,1.7487265350064882,2.443268446349818,1.3200136276565237,1.394640466135909
